size,qsort,odd-even,double-selection
50,0.000006,0.000019,0.000012
60,0.000007,0.000029,0.000018
70,0.000009,0.000036,0.000023
80,0.000011,0.000048,0.000029
90,0.000014,0.000063,0.000037
100,0.000014,0.000070,0.000044
110,0.000015,0.000086,0.000052
120,0.000017,0.000101,0.000062
130,0.000019,0.000120,0.000072
140,0.000022,0.000134,0.000082
150,0.000023,0.000158,0.000095
160,0.000024,0.000180,0.000109
170,0.000027,0.000212,0.000128
180,0.000028,0.000227,0.000135
190,0.000033,0.000272,0.000164
200,0.000033,0.000284,0.000166
210,0.000034,0.000322,0.000180
220,0.000036,0.000341,0.000202
230,0.000038,0.000366,0.000211
240,0.000041,0.000392,0.000234
250,0.000041,0.000431,0.000278
260,0.000042,0.000454,0.000272
270,0.000045,0.000490,0.000288
280,0.000047,0.000529,0.000317
290,0.000048,0.000560,0.000328
300,0.000050,0.000616,0.000351
310,0.000053,0.000642,0.000389
320,0.000058,0.000708,0.000415
330,0.000057,0.000734,0.000425
340,0.000061,0.000784,0.000457
350,0.000060,0.000816,0.000476
360,0.000063,0.000880,0.000515
370,0.000068,0.000930,0.000540
380,0.000069,0.001005,0.000590
390,0.000073,0.001106,0.000637
400,0.000076,0.001090,0.000637
410,0.000075,0.001153,0.000666
420,0.000076,0.001199,0.000696
430,0.000079,0.001290,0.000742
440,0.000083,0.001323,0.000857
450,0.000083,0.001371,0.000877
460,0.000084,0.001508,0.000819
470,0.000087,0.001511,0.000878
480,0.000086,0.001582,0.000952
490,0.000098,0.001665,0.000948
500,0.000094,0.001718,0.000956
510,0.000092,0.001787,0.001022
520,0.000098,0.001825,0.001063
530,0.000105,0.001908,0.001071
540,0.000101,0.002008,0.001203
550,0.000133,0.002067,0.001186
560,0.000107,0.002123,0.001195
570,0.000107,0.002173,0.001275
580,0.000108,0.002251,0.001282
590,0.000111,0.002346,0.001387
600,0.000116,0.002424,0.001388
610,0.000122,0.002521,0.001464
620,0.000118,0.002589,0.001478
630,0.000122,0.002737,0.001555
640,0.000124,0.003021,0.001691
650,0.000126,0.002964,0.001680
660,0.000130,0.003045,0.001665
670,0.000141,0.003112,0.001716
680,0.000134,0.003126,0.001806
690,0.000132,0.003238,0.001839
700,0.000136,0.003304,0.001927
710,0.000137,0.003392,0.001923
720,0.000140,0.003805,0.002142
730,0.000143,0.003586,0.002032
740,0.000149,0.003647,0.002063
750,0.000145,0.004069,0.002195
760,0.000148,0.003962,0.002186
770,0.000152,0.003995,0.002275
780,0.000153,0.004111,0.002300
790,0.000153,0.004157,0.002346
800,0.000159,0.004569,0.002463
810,0.000161,0.004491,0.002590
820,0.000166,0.004607,0.002579
830,0.000165,0.004688,0.002596
840,0.000171,0.004758,0.002650
850,0.000169,0.004888,0.002716
860,0.000171,0.005293,0.002804
870,0.000174,0.005121,0.002881
880,0.000177,0.005268,0.002985
890,0.000179,0.005360,0.003062
900,0.000190,0.005551,0.003201
910,0.000182,0.005620,0.003276
920,0.000198,0.005732,0.003236
930,0.000187,0.005888,0.003291
940,0.000188,0.005954,0.003347
950,0.000200,0.006257,0.003552
960,0.000212,0.006551,0.003645
970,0.000211,0.006423,0.003693
980,0.000216,0.006655,0.003681
990,0.000200,0.006583,0.003711
